City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cuencame de ceniceros,24.8711,-103.6964,34.25,15,75,5.98,MX,1718055375
1,west island,-12.1568,96.8225,25.99,89,100,9.77,CC,1718055375
2,iskateley,67.6803,53.1512,3.34,88,6,3.58,RU,1718055376
3,harstad,68.799,16.5293,13.66,86,98,2.81,NO,1718055376
4,avarua,-21.2078,-159.775,24.03,53,20,3.09,CK,1718055376
5,ribeira grande,38.5167,-28.7,20.43,77,40,4.12,PT,1718055376
6,kroya,-7.6331,109.2461,26.91,87,75,2.66,ID,1718055377
7,puerto colombia,10.9878,-74.9547,28.05,75,100,3.62,CO,1718055377
8,cabezon de la sal,43.3089,-4.2302,15.95,71,94,1.28,ES,1718055377
9,port-aux-francais,-49.35,70.2167,4.88,79,100,21.1,TF,1718055377
10,aykhal,66.0,111.5,16.86,47,80,2.6,RU,1718055378
11,bredasdorp,-34.5322,20.0403,14.15,53,100,2.22,ZA,1718055250
12,ilulissat,69.2167,-51.1,2.01,75,40,4.63,GL,1718055378
13,edinburgh of the seven seas,-37.0676,-12.3116,14.58,76,14,10.33,SH,1718055378
14,adamstown,-25.066,-130.1015,22.64,81,100,7.45,PN,1718055110
15,waitangi,-43.9535,-176.5597,9.9,96,100,0.45,NZ,1718055379
16,bethel,41.3712,-73.414,23.75,58,100,3.09,US,1718055109
17,abbadia san salvatore,42.8821,11.6695,15.18,85,71,1.58,IT,1718055379
18,reggane,26.7158,0.1714,38.55,12,6,3.47,DZ,1718055379
19,mount gambier,-37.8333,140.7667,14.36,88,100,7.05,AU,1718055379
20,santana,-0.0583,-51.1817,29.1,79,75,2.57,BR,1718055380
21,blackmans bay,-43.0167,147.3167,11.52,89,100,1.34,AU,1718055380
22,tazovsky,67.4667,78.7,9.99,64,100,5.07,RU,1718055380
23,pishva,35.308,51.7267,30.61,19,100,4.33,IR,1718055380
24,tottori,35.5,134.2333,20.04,88,0,3.09,JP,1718055380
25,albany,42.6001,-73.9662,18.23,71,75,0.89,US,1718055106
26,cabo san lucas,22.8909,-109.9124,33.17,35,0,3.09,MX,1718055381
27,tiksi,71.6872,128.8694,2.28,82,47,3.53,RU,1718055381
28,iqaluit,63.7506,-68.5145,1.85,74,75,2.57,CA,1718055381
29,gizo,-8.103,156.8419,28.7,75,83,2.36,SB,1718055381
30,puerto baquerizo moreno,-0.9,-89.6,25.55,73,20,7.2,EC,1718055132
31,palikir - national government center,6.9248,158.1611,28.41,84,75,3.6,FM,1718055382
32,okhotsk,59.3833,143.3,8.34,77,83,1.93,RU,1718055382
33,sukhobezvodnoye,57.0491,44.8891,16.64,74,79,2.54,RU,1718055382
34,ta`u,-14.2336,-169.5144,27.05,78,60,9.65,AS,1718055382
35,ust'-ilimsk,58.0006,102.6619,13.02,93,99,1.34,RU,1718055383
36,hermanus,-34.4187,19.2345,16.0,55,99,4.48,ZA,1718055383
37,georgetown,5.4112,100.3354,27.96,85,20,1.54,MY,1718055177
38,saipan,15.1355,145.701,26.39,89,75,5.66,MP,1718055383
39,karratha,-20.7377,116.8463,18.78,55,0,2.35,AU,1718055383
40,al jabin,14.704,43.599,26.05,41,5,0.18,YE,1718055384
41,east london,-33.0153,27.9116,16.59,51,0,3.41,ZA,1718055384
42,margate,51.3813,1.3862,11.6,69,8,1.34,GB,1718055260
43,ballina,-28.8667,153.5667,9.32,80,20,4.25,AU,1718055384
44,al jubayl,27.0112,49.6583,30.86,71,0,4.17,SA,1718055384
45,fortuna,40.5982,-124.1573,17.74,85,40,5.66,US,1718055385
46,invercargill,-46.4,168.35,4.45,93,81,6.26,NZ,1718055385
47,whitehorse,60.7161,-135.0538,19.89,30,75,5.66,CA,1718055385
48,sao miguel do araguaia,-13.275,-50.1628,26.17,38,9,1.62,BR,1718055385
49,mandalgovi,45.7625,106.2708,16.39,59,92,1.56,MN,1718055385
50,jianshui,23.6363,102.8264,19.74,97,93,1.47,CN,1718055386
51,aasiaat,68.7098,-52.8699,0.96,76,34,4.99,GL,1718055386
52,grantsville,40.5999,-112.4644,29.36,33,0,4.12,US,1718055386
53,mar del plata,-38.0023,-57.5575,12.83,89,0,1.54,AR,1718055147
54,port elizabeth,-33.918,25.5701,15.61,85,0,1.03,ZA,1718055386
55,grytviken,-54.2811,-36.5092,-8.36,79,44,3.76,GS,1718055387
56,port lincoln,-34.7333,135.8667,16.2,82,100,8.16,AU,1718055387
57,cedeira,43.6797,-8.0209,15.54,79,85,4.96,ES,1718055387
58,puerto natales,-51.7236,-72.4875,0.25,100,75,4.63,CL,1718055387
59,celestun,20.8667,-90.4,30.93,68,72,5.98,MX,1718055388
60,padang,-0.9492,100.3543,27.03,82,87,1.71,ID,1718055388
61,mitu,1.1983,-70.1733,26.65,85,72,0.77,CO,1718055388
62,port alfred,-33.5906,26.891,17.91,52,0,4.78,ZA,1718055384
63,port mathurin,-19.6833,63.4167,24.34,72,56,9.48,MU,1718055388
64,amungan,15.3652,119.9582,27.98,78,100,2.07,PH,1718055389
65,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,86,0,4.47,RU,1718055389
66,turinsk,58.0458,63.696,11.75,92,50,3.31,RU,1718055389
67,tura,25.5198,90.2201,25.2,95,11,3.15,IN,1718055389
68,ushuaia,-54.8,-68.3,-3.19,86,20,2.06,AR,1718055245
69,burdur,37.7203,30.2908,19.39,40,0,1.54,TR,1718055390
70,tongchuanshi,35.0806,109.0897,20.46,54,9,2.28,CN,1718055390
71,san ignacio cerro gordo,20.75,-102.5333,28.68,23,90,0.74,MX,1718055390
72,camana,-16.6228,-72.7111,17.98,77,31,2.42,PE,1718055390
73,hamilton,39.1834,-84.5333,18.97,62,100,6.17,US,1718055215
74,tanabe,33.7333,135.3667,21.22,80,68,1.21,JP,1718055391
